School_ID,NAME_OF_SCHOOL,school_type,Street_Address,City,State,ZIP_Code,SAFETY_SCORE,AVERAGE_STUDENT_ATTENDANCE,Latitude,Longitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl,Chicago,IL,60614,99,0.96,41.92449696,-87.64452163,7,Lincoln Park
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr,Chicago,IL,60649,54,0.956,41.76032435,-87.55673627,43,South Shore
610185,Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave,Chicago,IL,60652,61,0.957,41.74711093,-87.73170248,70,Ashburn
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave,Chicago,IL,60609,56,0.955,41.8097569,-87.6721446,61,New City
610513,Air Force Academy High School,HS,3630 S Wells St,Chicago,IL,60609,49,0.933,41.82814609,-87.63279369,34,Armour Square
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave,Chicago,IL,60625,66,0.97,41.9711433,-87.70962725,14,Albany Park
609720,Albert G Lane Technical High School,HS,2501 W Addison St,Chicago,IL,60618,88,0.963,41.94661693,-87.69105603,5,North Center
610342,Albert R Sabin Elementary Magnet School,ES,2216 W Hirsch St,Chicago,IL,60622,67,0.947,41.90684338,-87.68304259,24,West Town
610524,Alcott High School for the Humanities,HS,2957 N Hoyne Ave,Chicago,IL,60618,70,0.927,41.93576106,-87.68052441,5,North Center
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave,Chicago,IL,60625,43,0.964,41.97160605,-87.72464139,14,Albany Park
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave,Chicago,IL,60618,99,0.963,41.94952795,-87.68605496,5,North Center
609947,Alexander Graham Elementary School,ES,4436 S Union Ave,Chicago,IL,60609,49,0.925,41.81329195,-87.64338051,61,New City
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave,Chicago,IL,60657,73,0.953,41.94524725,-87.67085683,6,Lake View
610210,Alexander von Humboldt Elementary School,ES,2620 W Hirsch St,Chicago,IL,60622,31,0.925,41.90672216,-87.69300325,24,West Town
609808,Alex Haley Elementary Academy,ES,11411 S Eggleston Ave,Chicago,IL,60628,28,0.949,41.68663682,-87.63359476,49,Roseland
610028,Alfred David Kohn Elementary School,ES,10414 S State St,Chicago,IL,60628,19,0.901,41.70485072,-87.62360199,49,Roseland
610098,Alfred Nobel Elementary School,ES,4127 W Hirsch St,Chicago,IL,60651,37,0.946,41.90612797,-87.72993324,23,Humboldt Park
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,10354 S Charles St,Chicago,IL,60643,46,0.956,41.70514024,-87.65811642,72,Beverly
610334,Al Raby High School,HS,3545 W Fulton Blvd,Chicago,IL,60624,52,0.803,41.886183,-87.71539705,27,East Garfield Park
610131,Ambrose Plamondon Elementary School,ES,2642 W 15th Pl,Chicago,IL,60608,45,0.969,41.86028668,-87.69250468,29,North Lawndale
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St,Chicago,IL,60617,81,0.963,41.72613498,-87.58217727,48,Calumet Heights
609780,Ames Middle School,MS,1920 N Hamlin Ave,Chicago,IL,60647,38,0.943,41.91605519,-87.72177945,22,Logan Square
610339,Amos Alonzo Stagg Elementary School,ES,7424 S Morgan St,Chicago,IL,60621,23,0.914,41.75892669,-87.6492534,68,Englewood
610320,Ana Roque de Duprey Elementary School,ES,2620 W Hirsch St,Chicago,IL,60622,57,0.954,41.90672216,-87.69300325,24,West Town
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl,Chicago,IL,60637,48,0.946,41.78339577,-87.59079649,42,Woodlawn
610060,Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St,Chicago,IL,60607,86,0.974,41.87432724,-87.66097599,28,Near West Side
609869,Anna R. Langford Community Academy,ES,6010 S Throop St,Chicago,IL,60636,31,0.918,41.78465652,-87.6572053,67,West Englewood
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St,Chicago,IL,60655,99,0.975,41.69719792,-87.6972638,74,Mount Greenwood
610229,A.N. Pritzker School,ES,2009 W Schiller St,Chicago,IL,60622,59,0.946,41.907025,-87.67779555,24,West Town
610277,Anthony Overton Elementary School,ES,221 E 49th St,Chicago,IL,60615,32,0.905,41.80557578,-87.62012252,38,Grand Boulevard
609951,Ariel Elementary Community Academy,ES,1119 E 46th St,Chicago,IL,60653,,0.955,41.81133445,-87.5985003,39,Kenwood
610161,Arna Wendell Bontemps Elementary School,ES,1241 W 58th St,Chicago,IL,60636,33,0.942,41.78857298,-87.65634499,67,West Englewood
610171,Arnold Mireles Elementary Academy,ES,9000 S Exchange Ave,Chicago,IL,60617,27,0.928,41.73168217,-87.55282373,46,South Chicago
610037,Arthur A Libby Elementary School,ES,5300 S Loomis Blvd,Chicago,IL,60609,36,0.908,41.79764784,-87.65996858,61,New City
609887,Arthur Dixon Elementary School,ES,8306 S Saint Lawrence Ave,Chicago,IL,60619,47,0.948,41.74365776,-87.61001515,44,Chatham
609836,Arthur E Canty Elementary School,ES,3740 N Panama Ave,Chicago,IL,60634,87,0.961,41.94799245,-87.8293319,17,Dunning
610268,Arthur R Ashe Elementary School,ES,8505 S Ingleside Ave,Chicago,IL,60619,,0.879,41.74015307,-87.60113659,44,Chatham
609941,Asa Philip Randolph Elementary School,ES,7316 S Hoyne Ave,Chicago,IL,60636,15,0.921,41.76059741,-87.67600175,67,West Englewood
610287,Ashburn Community Elementary School,ES,8300 S Saint Louis Ave,Chicago,IL,60652,48,0.955,41.74233179,-87.70964592,70,Ashburn
609820,Augustus H Burley Elementary School,ES,1630 W Barry Ave,Chicago,IL,60657,99,0.965,41.93796493,-87.66985204,6,Lake View
400018,Austin Business and Entrepreneurship Academy High School,HS,231 N Pine Ave,Chicago,IL,60644,38,0.76,41.88520477,-87.76321191,25,Austin
610169,Austin O Sexton Elementary School,ES,6020 S Langley Ave,Chicago,IL,60637,23,0.905,41.78517099,-87.60866927,42,Woodlawn
610501,Austin Polytechnical Academy High School,HS,231 N Pine Ave,Chicago,IL,60644,38,0.701,41.88520477,-87.76321191,25,Austin
609786,Avalon Park Elementary School,ES,8045 S Kenwood Ave,Chicago,IL,60619,32,0.921,41.74826636,-87.59161761,45,Avalon Park
609871,Barbara Vick Early Childhood & Family Center,ES,2554 W 113th St,Chicago,IL,60655,,0.609,41.68821843,-87.6856634,75,Morgan Park
